danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.52,0.248,5,-8.675,1,0.0355,0.91,1.35e-06,0.118,0.228,129.205,audio_features,4FObSSNE4O4dgzD4iHFprW,spotify:track:4FObSSNE4O4dgzD4iHFprW,https://api.spotify.com/v1/tracks/4FObSSNE4O4dgzD4iHFprW,https://api.spotify.com/v1/audio-analysis/4FObSSNE4O4dgzD4iHFprW,290096,4
0.531,0.287,9,-7.091,1,0.0364,0.915,0.0,0.118,0.491,135.55,audio_features,7fftC401ke4BzA3ucPIXES,spotify:track:7fftC401ke4BzA3ucPIXES,https://api.spotify.com/v1/tracks/7fftC401ke4BzA3ucPIXES,https://api.spotify.com/v1/audio-analysis/7fftC401ke4BzA3ucPIXES,209482,4
0.398,0.165,9,-10.715,1,0.0354,0.885,0.0,0.102,0.125,134.808,audio_features,6td501MwDVFewdz6qNOtG8,spotify:track:6td501MwDVFewdz6qNOtG8,https://api.spotify.com/v1/tracks/6td501MwDVFewdz6qNOtG8,https://api.spotify.com/v1/audio-analysis/6td501MwDVFewdz6qNOtG8,225786,4
0.618,0.405,11,-5.808,1,0.0299,0.896,0.0,0.103,0.222,133.909,audio_features,4wX8BpSzIqqVjnf1X4RohI,spotify:track:4wX8BpSzIqqVjnf1X4RohI,https://api.spotify.com/v1/tracks/4wX8BpSzIqqVjnf1X4RohI,https://api.spotify.com/v1/audio-analysis/4wX8BpSzIqqVjnf1X4RohI,224284,4
0.247,0.41,6,-5.725,1,0.0331,0.756,2.93e-06,0.127,0.125,62.91,audio_features,1pEavn8UFAeij6afPwWfvM,spotify:track:1pEavn8UFAeij6afPwWfvM,https://api.spotify.com/v1/tracks/1pEavn8UFAeij6afPwWfvM,https://api.spotify.com/v1/audio-analysis/1pEavn8UFAeij6afPwWfvM,233940,4
0.558,0.526,0,-4.686,0,0.033,0.431,0.0,0.126,0.202,124.709,audio_features,1HYzRuWjmS9LXCkdVHi25K,spotify:track:1HYzRuWjmS9LXCkdVHi25K,https://api.spotify.com/v1/tracks/1HYzRuWjmS9LXCkdVHi25K,https://api.spotify.com/v1/audio-analysis/1HYzRuWjmS9LXCkdVHi25K,192441,4
0.375,0.343,11,-7.224,1,0.0345,0.859,0.0,0.134,0.158,121.879,audio_features,4PvVKyqJ6pLVi5HKpAjTPc,spotify:track:4PvVKyqJ6pLVi5HKpAjTPc,https://api.spotify.com/v1/tracks/4PvVKyqJ6pLVi5HKpAjTPc,https://api.spotify.com/v1/audio-analysis/4PvVKyqJ6pLVi5HKpAjTPc,220929,4
0.422,0.737,10,-4.31,1,0.0377,0.491,0.0,0.183,0.502,179.923,audio_features,1D6lK8qADoErTTLkY4YBfM,spotify:track:1D6lK8qADoErTTLkY4YBfM,https://api.spotify.com/v1/tracks/1D6lK8qADoErTTLkY4YBfM,https://api.spotify.com/v1/audio-analysis/1D6lK8qADoErTTLkY4YBfM,189356,4
0.482,0.344,5,-6.002,1,0.0318,0.901,0.0,0.129,0.211,133.499,audio_features,3SfbB0Y3saMIQnNctxMVhj,spotify:track:3SfbB0Y3saMIQnNctxMVhj,https://api.spotify.com/v1/tracks/3SfbB0Y3saMIQnNctxMVhj,https://api.spotify.com/v1/audio-analysis/3SfbB0Y3saMIQnNctxMVhj,169449,4
0.403,0.478,11,-5.185,1,0.0422,0.693,0.0,0.108,0.271,121.18,audio_features,4B6cJ34Mkfiu4Xo8t8QU7F,spotify:track:4B6cJ34Mkfiu4Xo8t8QU7F,https://api.spotify.com/v1/tracks/4B6cJ34Mkfiu4Xo8t8QU7F,https://api.spotify.com/v1/audio-analysis/4B6cJ34Mkfiu4Xo8t8QU7F,258227,4
