name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year
"How can I love the heartbreak, you`re the one I love",AKMU,12,0.52,0.248,5.0,-8.675,1.0,0.0355,0.91,1.35e-06,0.11800000000000001,0.228,129.205,290096.0,2019
All about you,TAEYEON,67,0.531,0.287,9.0,-7.091,1.0,0.0364,0.915,0.0,0.11800000000000001,0.491,135.55,209482.0,2019
Can You See My Heart,HEIZE,65,0.39799999999999996,0.165,9.0,-10.715,1.0,0.0354,0.885,0.0,0.102,0.125,134.808,225786.0,2019
At the end,CHUNG HA,55,0.618,0.405,11.0,-5.808,1.0,0.0299,0.8959999999999999,0.0,0.10300000000000001,0.222,133.909,224284.0,2019
All with You,TAEYEON,56,0.247,0.41,6.0,-5.725,1.0,0.0331,0.7559999999999999,2.93e-06,0.127,0.125,62.91,233940.0,2016
Stay With Me,CHANYEOL,72,0.5579999999999999,0.526,0.0,-4.686,0.0,0.033,0.431,0.0,0.126,0.20199999999999999,124.709,192441.0,2016
MY LOVE,LeeHi,61,0.375,0.34299999999999997,11.0,-7.224,1.0,0.0345,0.8590000000000001,0.0,0.134,0.158,121.87899999999999,220929.0,2016
Everytime,CHEN,68,0.42200000000000004,0.737,10.0,-4.31,1.0,0.0377,0.491,0.0,0.183,0.502,179.923,189356.0,2016
I Miss You,SOYOU,62,0.48200000000000004,0.344,5.0,-6.002000000000001,1.0,0.0318,0.9009999999999999,0.0,0.129,0.21100000000000002,133.499,169449.0,2016
Love poem,IU,59,0.40299999999999997,0.478,11.0,-5.185,1.0,0.0422,0.693,0.0,0.10800000000000001,0.271,121.18,258227.0,2019
Through the Night,IU,65,0.428,0.313,8.0,-7.327000000000001,1.0,0.0391,0.757,0.0,0.309,0.284,78.723,253293.0,2017
I Will Go To You Like the First Snow,AILEE,64,0.49700000000000005,0.431,5.0,-4.755,0.0,0.0287,0.66,0.0,0.153,0.16699999999999998,133.675,229678.0,2017
Can You Hear My Heart (feat. LEE HI),Epik High,59,0.6940000000000001,0.5920000000000001,7.0,-6.406000000000001,1.0,0.0367,0.742,0.0,0.124,0.305,95.04700000000001,248144.0,2016
ALWAYS,Yoon Mirae,63,0.425,0.605,10.0,-3.4530000000000003,1.0,0.0331,0.7759999999999999,0.0,0.311,0.282,128.665,205193.0,2016
I Love You Boy,Suzy,59,0.45799999999999996,0.384,8.0,-5.045,1.0,0.0267,0.7340000000000001,0.0,0.0985,0.157,148.21,264539.0,2017
This Love,DAVICHI,64,0.405,0.445,9.0,-4.309,1.0,0.0337,0.745,0.0,0.19399999999999998,0.222,138.76,225171.0,2016
For You,CHEN,63,0.5329999999999999,0.838,0.0,-3.7230000000000003,1.0,0.0319,0.102,0.0,0.39399999999999996,0.449,75.021,196549.0,2016
Forgetting You,DAVICHI,57,0.508,0.545,11.0,-6.425,1.0,0.037000000000000005,0.58,0.0,0.361,0.233,129.183,192430.0,2016
Sunset,DAVICHI,39,0.479,0.292,8.0,-8.161,1.0,0.031,0.894,0.0,0.121,0.20600000000000002,131.855,216735.0,2019
Give You My Heart,IU,63,0.344,0.43,8.0,-5.502999999999999,1.0,0.0434,0.6829999999999999,0.0,0.0881,0.385,167.332,280360.0,2020
Done For Me,Punch,59,0.498,0.45399999999999996,8.0,-8.072000000000001,0.0,0.0396,0.71,0.0,0.111,0.228,135.211,231555.0,2019
If It Is You,Jung Seung Hwan,62,0.387,0.515,2.0,-5.529,1.0,0.0338,0.6859999999999999,0.0,0.16,0.19899999999999998,135.221,272847.0,2016
