danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.547,0.567,7,-7.295,1,0.0242,0.276,0.000548,0.104,0.399,137.13,audio_features,0F02KChKwbcQ3tk4q1YxLH,spotify:track:0F02KChKwbcQ3tk4q1YxLH,https://api.spotify.com/v1/tracks/0F02KChKwbcQ3tk4q1YxLH,https://api.spotify.com/v1/audio-analysis/0F02KChKwbcQ3tk4q1YxLH,269747,4
0.494,0.565,3,-4.958,0,0.0291,0.061,0.0,0.121,0.0989,120.026,audio_features,3yYItsSZmRG3NhtJER0DeW,spotify:track:3yYItsSZmRG3NhtJER0DeW,https://api.spotify.com/v1/tracks/3yYItsSZmRG3NhtJER0DeW,https://api.spotify.com/v1/audio-analysis/3yYItsSZmRG3NhtJER0DeW,279893,4
0.827,0.16,0,-12.729,1,0.0483,0.887,0.0,0.105,0.388,119.891,audio_features,4fVDiH2VJR44CZ01mpr5Gu,spotify:track:4fVDiH2VJR44CZ01mpr5Gu,https://api.spotify.com/v1/tracks/4fVDiH2VJR44CZ01mpr5Gu,https://api.spotify.com/v1/audio-analysis/4fVDiH2VJR44CZ01mpr5Gu,145440,4
0.422,0.657,4,-5.274,1,0.0292,0.214,0.0,0.129,0.218,159.957,audio_features,553GNiNqcudWfsF55RBDqz,spotify:track:553GNiNqcudWfsF55RBDqz,https://api.spotify.com/v1/tracks/553GNiNqcudWfsF55RBDqz,https://api.spotify.com/v1/audio-analysis/553GNiNqcudWfsF55RBDqz,261560,4
0.547,0.475,1,-6.613,1,0.0278,0.811,0.0,0.0722,0.142,161.965,audio_features,6ElA74xrJ67DKSgp6PsVcM,spotify:track:6ElA74xrJ67DKSgp6PsVcM,https://api.spotify.com/v1/tracks/6ElA74xrJ67DKSgp6PsVcM,https://api.spotify.com/v1/audio-analysis/6ElA74xrJ67DKSgp6PsVcM,239560,4
0.627,0.408,5,-9.87,1,0.052,0.626,0.0,0.315,0.337,114.744,audio_features,2XEtdVgbgltXfzVQppAkbi,spotify:track:2XEtdVgbgltXfzVQppAkbi,https://api.spotify.com/v1/tracks/2XEtdVgbgltXfzVQppAkbi,https://api.spotify.com/v1/audio-analysis/2XEtdVgbgltXfzVQppAkbi,269293,4
0.56,0.59,5,-6.365,1,0.0277,0.113,0.0,0.125,0.384,130.389,audio_features,5VQ3tkSUhfX4w5g5bj0Blv,spotify:track:5VQ3tkSUhfX4w5g5bj0Blv,https://api.spotify.com/v1/tracks/5VQ3tkSUhfX4w5g5bj0Blv,https://api.spotify.com/v1/audio-analysis/5VQ3tkSUhfX4w5g5bj0Blv,262400,4
0.747,0.855,0,-2.6,0,0.0288,0.186,2.61e-06,0.0885,0.6,101.996,audio_features,6u4QtlkKJ879ElNlgw0R7M,spotify:track:6u4QtlkKJ879ElNlgw0R7M,https://api.spotify.com/v1/tracks/6u4QtlkKJ879ElNlgw0R7M,https://api.spotify.com/v1/audio-analysis/6u4QtlkKJ879ElNlgw0R7M,226533,4
0.382,0.517,1,-7.851,1,0.0329,0.773,0.0,0.241,0.476,203.853,audio_features,07BvYVjw4vUlHB2Ra2Mohv,spotify:track:07BvYVjw4vUlHB2Ra2Mohv,https://api.spotify.com/v1/tracks/07BvYVjw4vUlHB2Ra2Mohv,https://api.spotify.com/v1/audio-analysis/07BvYVjw4vUlHB2Ra2Mohv,272493,4
0.459,0.565,8,-5.537,1,0.0274,0.773,0.0,0.135,0.149,145.988,audio_features,1XtL6uCoybBDTY1unLPVbM,spotify:track:1XtL6uCoybBDTY1unLPVbM,https://api.spotify.com/v1/tracks/1XtL6uCoybBDTY1unLPVbM,https://api.spotify.com/v1/audio-analysis/1XtL6uCoybBDTY1unLPVbM,254320,4
0.585,0.422,2,-7.447,1,0.0282,0.493,0.0,0.0963,0.173,131.912,audio_features,4OHaQq5eqpRgCqgVY3MpQY,spotify:track:4OHaQq5eqpRgCqgVY3MpQY,https://api.spotify.com/v1/tracks/4OHaQq5eqpRgCqgVY3MpQY,https://api.spotify.com/v1/audio-analysis/4OHaQq5eqpRgCqgVY3MpQY,266333,4
0.63,0.79,5,-6.656,1,0.0283,0.456,1.03e-05,0.537,0.668,98.721,audio_features,6Ohh5SV1zneUskAqzF1dh9,spotify:track:6Ohh5SV1zneUskAqzF1dh9,https://api.spotify.com/v1/tracks/6Ohh5SV1zneUskAqzF1dh9,https://api.spotify.com/v1/audio-analysis/6Ohh5SV1zneUskAqzF1dh9,227160,4
0.449,0.506,2,-6.202,1,0.031,0.309,0.0,0.116,0.176,130.086,audio_features,1Qf5kSiPjhYryxONqkHrR0,spotify:track:1Qf5kSiPjhYryxONqkHrR0,https://api.spotify.com/v1/tracks/1Qf5kSiPjhYryxONqkHrR0,https://api.spotify.com/v1/audio-analysis/1Qf5kSiPjhYryxONqkHrR0,240533,4
0.567,0.702,7,-5.457,0,0.0329,0.664,9.51e-06,0.0833,0.412,140.019,audio_features,1TLi1SdXHwnwcelMhcvHq7,spotify:track:1TLi1SdXHwnwcelMhcvHq7,https://api.spotify.com/v1/tracks/1TLi1SdXHwnwcelMhcvHq7,https://api.spotify.com/v1/audio-analysis/1TLi1SdXHwnwcelMhcvHq7,224493,4
0.476,0.251,7,-10.056,1,0.0488,0.901,0.0,0.21,0.311,141.299,audio_features,7z9eG6UOGNqPyOe6uGRxbV,spotify:track:7z9eG6UOGNqPyOe6uGRxbV,https://api.spotify.com/v1/tracks/7z9eG6UOGNqPyOe6uGRxbV,https://api.spotify.com/v1/audio-analysis/7z9eG6UOGNqPyOe6uGRxbV,275480,4
0.554,0.51,0,-6.534,1,0.0269,0.83,0.0,0.116,0.436,79.973,audio_features,4lD40vyG33AcLiftmxQSC8,spotify:track:4lD40vyG33AcLiftmxQSC8,https://api.spotify.com/v1/tracks/4lD40vyG33AcLiftmxQSC8,https://api.spotify.com/v1/audio-analysis/4lD40vyG33AcLiftmxQSC8,270093,4
0.569,0.338,7,-10.376,1,0.0284,0.563,0.0,0.0996,0.221,132.712,audio_features,0pol1KdiAZ8qnXwdSrRq1Y,spotify:track:0pol1KdiAZ8qnXwdSrRq1Y,https://api.spotify.com/v1/tracks/0pol1KdiAZ8qnXwdSrRq1Y,https://api.spotify.com/v1/audio-analysis/0pol1KdiAZ8qnXwdSrRq1Y,287133,4
0.353,0.551,9,-10.545,1,0.0585,0.147,3.99e-05,0.102,0.372,117.908,audio_features,7tI6yZNUsDX3baVEvqzIOh,spotify:track:7tI6yZNUsDX3baVEvqzIOh,https://api.spotify.com/v1/tracks/7tI6yZNUsDX3baVEvqzIOh,https://api.spotify.com/v1/audio-analysis/7tI6yZNUsDX3baVEvqzIOh,300133,4
0.546,0.499,7,-6.139,1,0.0279,0.172,0.0,0.131,0.172,115.486,audio_features,6D6tjxdEoUKm2gpuPMZW6M,spotify:track:6D6tjxdEoUKm2gpuPMZW6M,https://api.spotify.com/v1/tracks/6D6tjxdEoUKm2gpuPMZW6M,https://api.spotify.com/v1/audio-analysis/6D6tjxdEoUKm2gpuPMZW6M,262080,4
0.483,0.576,0,-6.911,0,0.028,0.382,0.00011,0.278,0.49,142.132,audio_features,3kwqNLXvsjSrIXbVsRBj8q,spotify:track:3kwqNLXvsjSrIXbVsRBj8q,https://api.spotify.com/v1/tracks/3kwqNLXvsjSrIXbVsRBj8q,https://api.spotify.com/v1/audio-analysis/3kwqNLXvsjSrIXbVsRBj8q,295307,4
0.73,0.525,7,-8.562,1,0.0314,0.654,0.0,0.128,0.531,131.575,audio_features,1bF9ejeIhDfZ3aEH0bOq3P,spotify:track:1bF9ejeIhDfZ3aEH0bOq3P,https://api.spotify.com/v1/tracks/1bF9ejeIhDfZ3aEH0bOq3P,https://api.spotify.com/v1/audio-analysis/1bF9ejeIhDfZ3aEH0bOq3P,222867,4
0.649,0.712,7,-6.024,1,0.0374,0.163,4.06e-05,0.256,0.618,141.978,audio_features,7HcIBd5v8fTA7ccYDcp0zG,spotify:track:7HcIBd5v8fTA7ccYDcp0zG,https://api.spotify.com/v1/tracks/7HcIBd5v8fTA7ccYDcp0zG,https://api.spotify.com/v1/audio-analysis/7HcIBd5v8fTA7ccYDcp0zG,218760,4
0.667,0.836,1,-6.386,0,0.0292,0.219,0.0,0.121,0.747,134.014,audio_features,1lRH0NdToJuws1PGRDbetd,spotify:track:1lRH0NdToJuws1PGRDbetd,https://api.spotify.com/v1/tracks/1lRH0NdToJuws1PGRDbetd,https://api.spotify.com/v1/audio-analysis/1lRH0NdToJuws1PGRDbetd,220827,4
