name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year
晴天,Jay Chou,61,0.547,0.5670000000000001,7,-7.295,1,0.0242,0.276,0.0005480000000000001,0.10400000000000001,0.39899999999999997,137.13,269747,2003
零,Alan Kuo,42,0.494,0.565,3,-4.958,0,0.0291,0.061,0.0,0.121,0.0989,120.02600000000001,279893,2005
寶貝 (In a Day),Deserts Chang,44,0.8270000000000001,0.16,0,-12.729000000000001,1,0.0483,0.887,0.0,0.105,0.38799999999999996,119.891,145440,2006
雨愛,Rainie Yang,55,0.42200000000000004,0.657,4,-5.274,1,0.0292,0.214,0.0,0.129,0.218,159.957,261560,2009
掉了,A-Mei Chang,0,0.547,0.475,1,-6.6129999999999995,1,0.0278,0.8109999999999999,0.0,0.0722,0.142,161.965,239560,2009
Love Song,Khalil Fong,44,0.627,0.408,5,-9.87,1,0.052000000000000005,0.626,0.0,0.315,0.337,114.744,269293,2007
倒帶,Jolin Tsai,36,0.56,0.59,5,-6.365,1,0.0277,0.113,0.0,0.125,0.384,130.389,262400,2007
說愛你,Jolin Tsai,50,0.747,0.855,0,-2.6,0,0.0288,0.18600000000000003,2.61e-06,0.0885,0.6,101.99600000000001,226533,2003
你被寫在我的歌裡,Sodagreen,0,0.382,0.517,1,-7.851,1,0.0329,0.773,0.0,0.24100000000000002,0.47600000000000003,203.85299999999998,272493,2011
珊瑚海,Jay Chou,0,0.45899999999999996,0.565,8,-5.537000000000001,1,0.0274,0.773,0.0,0.135,0.149,145.988,254320,2005
我愛的人,Jordan Chan,48,0.585,0.42200000000000004,2,-7.447,1,0.0282,0.493,0.0,0.0963,0.17300000000000001,131.912,266333,2001
香草吧噗,Nan Quan Mama,0,0.63,0.79,5,-6.656000000000001,1,0.0283,0.456,1.0300000000000001e-05,0.537,0.6679999999999999,98.721,227160,2004
分生,A-Mei Chang,0,0.449,0.506,2,-6.202000000000001,1,0.031,0.309,0.0,0.11599999999999999,0.17600000000000002,130.086,240533,2009
A.I.N.Y.,G.E.M.,46,0.5670000000000001,0.7020000000000001,7,-5.457000000000001,0,0.0329,0.664,9.51e-06,0.0833,0.41200000000000003,140.019,224493,2009
一秒的安慰,Yida Huang,25,0.47600000000000003,0.251,7,-10.056000000000001,1,0.0488,0.9009999999999999,0.0,0.21,0.311,141.299,275480,2005
那女孩對我說,Yida Huang,50,0.5539999999999999,0.51,0,-6.534,1,0.0269,0.83,0.0,0.11599999999999999,0.436,79.973,270093,2005
匿名的寶貝,Yida Huang,26,0.569,0.33799999999999997,7,-10.376,1,0.0284,0.563,0.0,0.0996,0.221,132.71200000000002,287133,2004
顯微鏡下的愛情,Yida Huang,25,0.353,0.551,9,-10.545,1,0.0585,0.147,3.9899999999999994e-05,0.102,0.37200000000000005,117.90799999999999,300133,2004
心跳,Leehom Wang,0,0.546,0.499,7,-6.138999999999999,1,0.0279,0.172,0.0,0.131,0.172,115.486,262080,2008
七里香,Jay Chou,56,0.483,0.5760000000000001,0,-6.9110000000000005,0,0.027999999999999997,0.382,0.00011,0.278,0.49,142.132,295307,2004
大城小愛,Leehom Wang,0,0.73,0.525,7,-8.562000000000001,1,0.0314,0.654,0.0,0.128,0.531,131.575,222867,2005
公主病,Jay Chou,33,0.649,0.7120000000000001,7,-6.024,1,0.0374,0.163,4.0600000000000004e-05,0.256,0.618,141.97799999999998,218760,2011
陽光宅男,Jay Chou,48,0.667,0.836,1,-6.386,0,0.0292,0.21899999999999997,0.0,0.121,0.747,134.014,220827,2008
下雨天,Nan Quan Mama,0,0.516,0.545,4,-6.761,1,0.0292,0.593,0.0,0.361,0.27399999999999997,127.96799999999999,253080,2008
匿名的好友,Rainie Yang,50,0.551,0.36700000000000005,2,-7.907,1,0.0291,0.609,0.0,0.172,0.205,119.84200000000001,261880,2009
很旅行的愛情,Cindy Yen,19,0.662,0.53,6,-8.698,1,0.0401,0.327,0.0,0.0943,0.313,130.019,251360,2009
永遠在身邊,Da Mouth,18,0.506,0.61,5,-7.895,1,0.0444,0.425,1.84e-06,0.106,0.762,79.854,281000,2010
雙人舞,Will Pan,0,0.8170000000000001,0.703,7,-5.522,0,0.20199999999999999,0.0497,0.0,0.14300000000000002,0.747,148.002,197013,2009
彩虹,Jay Chou,55,0.612,0.27899999999999997,0,-10.306,1,0.0386,0.778,0.0,0.121,0.345,147.916,261787,2008
唯一,Leehom Wang,37,0.336,0.462,3,-6.522,1,0.035,0.24100000000000002,0.0,0.28800000000000003,0.183,118.008,262733,2001
藉口,Jay Chou,51,0.461,0.584,2,-6.724,1,0.0273,0.617,0.0,0.109,0.16899999999999998,130.92700000000002,256333,2004
忍不住原諒 (Tolerance),Landy Wen,0,0.613,0.531,8,-5.69,1,0.0411,0.344,0.0,0.0998,0.192,113.902,251351,2012
