name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,language
晴天,Jay Chou,61,0.547,0.5670000000000001,7.0,-7.295,1.0,0.0242,0.276,0.0005480000000000001,0.104,0.399,137.13,269747.0,2003.0,Mandarin
零,Alan Kuo,42,0.494,0.565,3.0,-4.958,0.0,0.0291,0.061,0.0,0.121,0.0989,120.026,279893.0,2005.0,Mandarin
寶貝 (In a Day),Deserts Chang,44,0.8270000000000001,0.16,0.0,-12.729,1.0,0.0483,0.887,0.0,0.105,0.388,119.891,145440.0,2006.0,Mandarin
雨愛,Rainie Yang,55,0.422,0.657,4.0,-5.274,1.0,0.0292,0.214,0.0,0.129,0.218,159.957,261560.0,2009.0,Mandarin
掉了,A-Mei Chang,0,0.547,0.475,1.0,-6.613,1.0,0.0278,0.8109999999999999,0.0,0.0722,0.142,161.965,239560.0,2009.0,Mandarin
Love Song,Khalil Fong,44,0.627,0.408,5.0,-9.87,1.0,0.052000000000000005,0.626,0.0,0.315,0.337,114.744,269293.0,2007.0,Mandarin
倒帶,Jolin Tsai,36,0.56,0.59,5.0,-6.365,1.0,0.0277,0.113,0.0,0.125,0.384,130.389,262400.0,2007.0,Mandarin
說愛你,Jolin Tsai,50,0.747,0.855,0.0,-2.6,0.0,0.0288,0.18600000000000005,2.61e-06,0.0885,0.6,101.996,226533.0,2003.0,Mandarin
你被寫在我的歌裡,Sodagreen,0,0.382,0.517,1.0,-7.851,1.0,0.0329,0.773,0.0,0.241,0.476,203.853,272493.0,2011.0,Mandarin
珊瑚海,Jay Chou,0,0.459,0.565,8.0,-5.537000000000001,1.0,0.0274,0.773,0.0,0.135,0.149,145.988,254320.0,2005.0,Mandarin
我愛的人,Jordan Chan,48,0.585,0.422,2.0,-7.447,1.0,0.0282,0.493,0.0,0.0963,0.173,131.912,266333.0,2001.0,Mandarin
香草吧噗,Nan Quan Mama,0,0.63,0.79,5.0,-6.6560000000000015,1.0,0.0283,0.456,1.03e-05,0.537,0.6679999999999999,98.721,227160.0,2004.0,Mandarin
分生,A-Mei Chang,0,0.449,0.506,2.0,-6.202000000000001,1.0,0.031,0.309,0.0,0.116,0.17600000000000002,130.086,240533.0,2009.0,Mandarin
A.I.N.Y.,G.E.M.,46,0.5670000000000001,0.7020000000000001,7.0,-5.457000000000002,0.0,0.0329,0.664,9.51e-06,0.0833,0.412,140.019,224493.0,2009.0,Mandarin
一秒的安慰,Yida Huang,25,0.476,0.251,7.0,-10.056,1.0,0.0488,0.901,0.0,0.21,0.311,141.299,275480.0,2005.0,Mandarin
那女孩對我說,Yida Huang,50,0.5539999999999999,0.51,0.0,-6.534,1.0,0.0269,0.83,0.0,0.116,0.436,79.973,270093.0,2005.0,Mandarin
匿名的寶貝,Yida Huang,26,0.569,0.338,7.0,-10.376,1.0,0.0284,0.563,0.0,0.0996,0.221,132.71200000000002,287133.0,2004.0,Mandarin
顯微鏡下的愛情,Yida Huang,25,0.353,0.551,9.0,-10.545,1.0,0.0585,0.147,3.99e-05,0.102,0.3720000000000001,117.908,300133.0,2004.0,Mandarin
