danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.417,0.356,9,-8.747,1,0.0351,0.752,0.0,0.194,0.341,158.112,audio_features,6OSWTtSplw9SWv33aDmKWB,spotify:track:6OSWTtSplw9SWv33aDmKWB,https://api.spotify.com/v1/tracks/6OSWTtSplw9SWv33aDmKWB,https://api.spotify.com/v1/audio-analysis/6OSWTtSplw9SWv33aDmKWB,201828,3
0.524,0.663,11,-5.473,1,0.0729,0.692,8.54e-05,0.0824,0.568,93.381,audio_features,3ckraK42KnTt0Mk0b8pmA2,spotify:track:3ckraK42KnTt0Mk0b8pmA2,https://api.spotify.com/v1/tracks/3ckraK42KnTt0Mk0b8pmA2,https://api.spotify.com/v1/audio-analysis/3ckraK42KnTt0Mk0b8pmA2,195514,4
0.409,0.353,0,-7.286,1,0.0263,0.763,0.0,0.113,0.157,82.032,audio_features,4stGDwiLe6DYjxCDSo4Xqf,spotify:track:4stGDwiLe6DYjxCDSo4Xqf,https://api.spotify.com/v1/tracks/4stGDwiLe6DYjxCDSo4Xqf,https://api.spotify.com/v1/audio-analysis/4stGDwiLe6DYjxCDSo4Xqf,322499,4
0.438,0.408,3,-9.857,1,0.0705,0.688,0.0,0.121,0.373,92.053,audio_features,1ecVks3GJX8U67DvhVDVBn,spotify:track:1ecVks3GJX8U67DvhVDVBn,https://api.spotify.com/v1/tracks/1ecVks3GJX8U67DvhVDVBn,https://api.spotify.com/v1/audio-analysis/1ecVks3GJX8U67DvhVDVBn,253500,4
0.709,0.388,8,-6.058,1,0.343,0.662,0.0,0.0974,0.712,76.787,audio_features,0n5ljzmTfURQEAY5Bh6ed5,spotify:track:0n5ljzmTfURQEAY5Bh6ed5,https://api.spotify.com/v1/tracks/0n5ljzmTfURQEAY5Bh6ed5,https://api.spotify.com/v1/audio-analysis/0n5ljzmTfURQEAY5Bh6ed5,177039,4
0.789,0.488,9,-5.662,0,0.297,0.32,0.0,0.0847,0.29,159.986,audio_features,2AiZm17zqkV7llT3SHz4Nu,spotify:track:2AiZm17zqkV7llT3SHz4Nu,https://api.spotify.com/v1/tracks/2AiZm17zqkV7llT3SHz4Nu,https://api.spotify.com/v1/audio-analysis/2AiZm17zqkV7llT3SHz4Nu,276001,4
0.273,0.283,0,-10.462,1,0.0278,0.668,5.17e-06,0.0941,0.138,169.56,audio_features,7AzGrpsT9kTI6OUdMXlHWe,spotify:track:7AzGrpsT9kTI6OUdMXlHWe,https://api.spotify.com/v1/tracks/7AzGrpsT9kTI6OUdMXlHWe,https://api.spotify.com/v1/audio-analysis/7AzGrpsT9kTI6OUdMXlHWe,222847,4
0.875,0.45,7,-6.277,0,0.048,0.166,7.1e-06,0.116,0.456,94.994,audio_features,0ZaHfA4m7SlE2QHA3KNoXj,spotify:track:0ZaHfA4m7SlE2QHA3KNoXj,https://api.spotify.com/v1/tracks/0ZaHfA4m7SlE2QHA3KNoXj,https://api.spotify.com/v1/audio-analysis/0ZaHfA4m7SlE2QHA3KNoXj,255129,4
0.814,0.453,10,-7.204,1,0.11,0.657,1.34e-06,0.245,0.566,125.997,audio_features,6qtrL9Np30qyQpy1Od4AmG,spotify:track:6qtrL9Np30qyQpy1Od4AmG,https://api.spotify.com/v1/tracks/6qtrL9Np30qyQpy1Od4AmG,https://api.spotify.com/v1/audio-analysis/6qtrL9Np30qyQpy1Od4AmG,216000,4
0.531,0.362,8,-8.663,1,0.0698,0.654,9.58e-05,0.0921,0.592,139.47,audio_features,3clfEGdaeSmWM6pDekmZ2G,spotify:track:3clfEGdaeSmWM6pDekmZ2G,https://api.spotify.com/v1/tracks/3clfEGdaeSmWM6pDekmZ2G,https://api.spotify.com/v1/audio-analysis/3clfEGdaeSmWM6pDekmZ2G,180500,4
0.602,0.829,8,-4.49,1,0.304,0.752,0.0,0.357,0.61,89.989,audio_features,5Nd0com2T4rHRZO2YFwD2n,spotify:track:5Nd0com2T4rHRZO2YFwD2n,https://api.spotify.com/v1/tracks/5Nd0com2T4rHRZO2YFwD2n,https://api.spotify.com/v1/audio-analysis/5Nd0com2T4rHRZO2YFwD2n,232166,4
0.746,0.724,10,-3.976,0,0.0498,0.119,2.09e-05,0.0506,0.596,95.003,audio_features,2z9iLlNBt1aLZUCFgXby97,spotify:track:2z9iLlNBt1aLZUCFgXby97,https://api.spotify.com/v1/tracks/2z9iLlNBt1aLZUCFgXby97,https://api.spotify.com/v1/audio-analysis/2z9iLlNBt1aLZUCFgXby97,202105,4
0.723,0.527,3,-6.355,0,0.0379,0.613,0.0265,0.385,0.497,99.965,audio_features,3HJ0EW4kd9S1NRCm039Fsk,spotify:track:3HJ0EW4kd9S1NRCm039Fsk,https://api.spotify.com/v1/tracks/3HJ0EW4kd9S1NRCm039Fsk,https://api.spotify.com/v1/audio-analysis/3HJ0EW4kd9S1NRCm039Fsk,231505,4
0.656,0.331,2,-9.88,1,0.0302,0.363,0.0,0.201,0.5,105.015,audio_features,696w9BHmEY62myVCSDyrYW,spotify:track:696w9BHmEY62myVCSDyrYW,https://api.spotify.com/v1/tracks/696w9BHmEY62myVCSDyrYW,https://api.spotify.com/v1/audio-analysis/696w9BHmEY62myVCSDyrYW,247429,3
0.711,0.559,11,-7.891,1,0.0447,0.576,5.89e-06,0.11,0.68,93.022,audio_features,4bCuBkeVRofawnFkGu05fu,spotify:track:4bCuBkeVRofawnFkGu05fu,https://api.spotify.com/v1/tracks/4bCuBkeVRofawnFkGu05fu,https://api.spotify.com/v1/audio-analysis/4bCuBkeVRofawnFkGu05fu,206890,4
0.781,0.608,8,-8.452,1,0.0408,0.217,3.63e-05,0.158,0.609,101.017,audio_features,014DA3BdnmD3kI5pBogH7c,spotify:track:014DA3BdnmD3kI5pBogH7c,https://api.spotify.com/v1/tracks/014DA3BdnmD3kI5pBogH7c,https://api.spotify.com/v1/audio-analysis/014DA3BdnmD3kI5pBogH7c,270000,4
0.707,0.851,0,-3.684,1,0.0654,0.465,2.92e-06,0.138,0.738,155.966,audio_features,5mBWIm9EGnhZRYBYgAS72m,spotify:track:5mBWIm9EGnhZRYBYgAS72m,https://api.spotify.com/v1/tracks/5mBWIm9EGnhZRYBYgAS72m,https://api.spotify.com/v1/audio-analysis/5mBWIm9EGnhZRYBYgAS72m,193877,4
0.928,0.482,0,-5.499,1,0.195,0.439,1.13e-06,0.0422,0.667,139.96,audio_features,79xFFmGKtEyky0I2G9U9Jg,spotify:track:79xFFmGKtEyky0I2G9U9Jg,https://api.spotify.com/v1/tracks/79xFFmGKtEyky0I2G9U9Jg,https://api.spotify.com/v1/audio-analysis/79xFFmGKtEyky0I2G9U9Jg,190286,4
0.564,0.556,1,-6.273,1,0.0324,0.346,0.0,0.12,0.354,129.978,audio_features,6MS9ShggpMO7lQMSQz3JhZ,spotify:track:6MS9ShggpMO7lQMSQz3JhZ,https://api.spotify.com/v1/tracks/6MS9ShggpMO7lQMSQz3JhZ,https://api.spotify.com/v1/audio-analysis/6MS9ShggpMO7lQMSQz3JhZ,269677,4
