name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year
Em Dạo Này,Ngọt,45,0.41700000000000004,0.35600000000000004,9,-8.747,1,0.0351,0.752,0.0,0.19399999999999998,0.341,158.112,201828,2017
Đâu Cần Một Bài Ca Tình Yêu,Tien Tien,49,0.524,0.6629999999999999,11,-5.473,1,0.0729,0.6920000000000001,8.540000000000002e-05,0.0824,0.568,93.381,195514,2019
Chờ Anh Nhé (feat. Hoang Rob),Hoang Dung,48,0.409,0.353,0,-7.2860000000000005,1,0.0263,0.763,0.0,0.113,0.157,82.03200000000001,322499,2018
trời giấu trời mang đi,AMEE,50,0.43799999999999994,0.408,3,-9.857000000000001,1,0.0705,0.688,0.0,0.121,0.373,92.053,253500,2020
SAY,Lena,41,0.7090000000000001,0.38799999999999996,8,-6.058,1,0.34299999999999997,0.662,0.0,0.0974,0.7120000000000001,76.78699999999999,177039,2020
Bài Này Chill Phết,Đen,57,0.789,0.488,9,-5.662000000000001,0,0.297,0.32,0.0,0.0847,0.29,159.986,276001,2019
LẦN CUỐI (đi bên em xót xa người ơi),Ngọt,49,0.273,0.28300000000000003,0,-10.462,1,0.0278,0.6679999999999999,5.17e-06,0.0941,0.138,169.56,222847,2019
Em Có Nghe,Kha,49,0.875,0.45,7,-6.277,0,0.048,0.166,7.1e-06,0.11599999999999999,0.456,94.994,255129,2020
anh nhà ở đâu thế,AMEE,45,0.8140000000000001,0.45299999999999996,10,-7.204,1,0.11,0.657,1.34e-06,0.245,0.5660000000000001,125.99700000000001,216000,2020
đen đá không đường,AMEE,46,0.531,0.36200000000000004,8,-8.663,1,0.0698,0.654,9.58e-05,0.0921,0.5920000000000001,139.47,180500,2020
Ngày Tận Thế,Tóc Tiên,51,0.602,0.8290000000000001,8,-4.49,1,0.304,0.752,0.0,0.35700000000000004,0.61,89.98899999999999,232166,2020
CÓ CHẮC YÊU LÀ ĐÂY,Sơn Tùng M-TP,59,0.746,0.7240000000000001,10,-3.9760000000000004,0,0.0498,0.11900000000000001,2.09e-05,0.0506,0.596,95.00299999999999,202105,2020
Ke Cap Gap Ba Gia (feat. BINZ),Hoang Thuy Linh,57,0.723,0.527,3,-6.355,0,0.0379,0.613,0.0265,0.385,0.49700000000000005,99.965,231505,2019
Có Em Đời Bỗng Vui,Chillies,53,0.6559999999999999,0.331,2,-9.88,1,0.0302,0.363,0.0,0.201,0.5,105.015,247429,2020
Cần Gì Hơn,Tien Tien,46,0.711,0.5589999999999999,11,-7.891,1,0.0447,0.5760000000000001,5.89e-06,0.11,0.68,93.022,206890,2020
Cứ Chill Thôi,Chillies,61,0.7809999999999999,0.608,8,-8.452,1,0.0408,0.217,3.63e-05,0.158,0.609,101.01700000000001,270000,2020
De Mi Noi Cho Ma Nghe,Hoang Thuy Linh,48,0.7070000000000001,0.851,0,-3.6839999999999997,1,0.0654,0.465,2.92e-06,0.138,0.738,155.966,193877,2019
yêu thì yêu không yêu thì yêu,AMEE,46,0.9279999999999999,0.48200000000000004,0,-5.499,1,0.195,0.439,1.13e-06,0.0422,0.667,139.96,190286,2020
Nep Vao Anh Va Nghe Anh Hat,Hoang Dung,45,0.564,0.556,1,-6.273,1,0.0324,0.34600000000000003,0.0,0.12,0.354,129.97799999999998,269677,2018
Bật Nhạc Lên,HIEUTHUHAI,52,0.7290000000000001,0.618,2,-7.546,1,0.316,0.43200000000000005,2.65e-05,0.268,0.345,89.234,200000,2020
CUA,MANBO,49,0.948,0.5379999999999999,0,-7.332999999999999,1,0.196,0.168,2.01e-05,0.13699999999999998,0.23,101.00200000000001,193475,2020
CHUYỂN KÊNH (sản phẩm này không phải là thuốc),Ngọt,40,0.797,0.45,9,-8.311,0,0.036000000000000004,0.348,5.49e-06,0.0908,0.617,130.076,273807,2019
Xanh,Ngọt,36,0.575,0.8,11,-5.666,0,0.0424,0.156,2.98e-05,0.14400000000000002,0.27399999999999997,132.185,294208,2016
Nụ Cười,Rhymastic,40,0.633,0.7929999999999999,5,-7.075,1,0.0395,0.0921,0.0,0.0768,0.591,104.97,237714,2020
Love Me More,The Sheep,27,0.758,0.884,6,-5.546,1,0.0801,0.295,1.85e-06,0.0732,0.6779999999999999,130.0,210462,2019
Ôi Tình Yêu Thật Điêu,Lena,27,0.696,0.586,11,-9.015,0,0.0368,0.0107,0.000653,0.0907,0.498,115.08200000000001,244174,2019
Yêu 5,Rhymastic,53,0.6809999999999999,0.578,3,-7.917999999999999,1,0.0537,0.732,0.0,0.10400000000000001,0.382,95.037,240000,2017
Quả Tim Màu Lửa,Kiên Trịnh,36,0.614,0.7190000000000001,5,-8.35,1,0.0304,0.11699999999999999,0.0,0.0792,0.9009999999999999,149.955,203260,2019
Nàng Thơ,Hoang Dung,59,0.512,0.456,0,-7.285,1,0.0328,0.773,0.0,0.154,0.163,122.88600000000001,254476,2020
Vùng Ký Ức,Chillies,50,0.504,0.698,7,-6.957999999999999,1,0.0273,0.0248,0.0008900000000000001,0.109,0.42100000000000004,98.021,296500,2020
"ex's hate me, Pt. 2",AMEE,54,0.653,0.40299999999999997,0,-8.279,1,0.0577,0.743,0.0,0.141,0.39799999999999996,80.056,216500,2020
Cho Tôi Lang Thang,Ngọt,49,0.7559999999999999,0.626,8,-8.639,1,0.0729,0.17300000000000001,0.0,0.16399999999999998,0.596,90.083,258785,2017
Em Mới Là Người Yêu Anh,MIN,51,0.68,0.841,7,-4.716,1,0.0311,0.00611,0.0,0.16399999999999998,0.0762,98.001,228980,2018
Tầng Thượng 102,Cá Hồi Hoang,44,0.722,0.446,4,-11.652000000000001,1,0.0253,0.496,0.514,0.08800000000000001,0.34299999999999997,101.991,237250,2017
CHẠY NGAY ĐI,Sơn Tùng M-TP,49,0.728,0.8059999999999999,2,-3.824,0,0.0504,0.423,0.0,0.0883,0.45299999999999996,127.02,272508,2018
Nếu Ngày Mai Không Đến,Chillies,42,0.625,0.665,11,-8.709,1,0.0336,0.0034200000000000003,3.4399999999999996e-05,0.0804,0.192,124.007,330968,2019
Lạc Trôi,Sơn Tùng M-TP,44,0.639,0.873,9,-3.6460000000000004,0,0.0399,0.331,0.0326,0.133,0.166,135.062,232889,2017
Thích Quá Rùi Nà,Tlinh,56,0.764,0.51,2,-7.47,1,0.0757,0.542,0.0,0.11199999999999999,0.616,105.024,178286,2020
Hoàng Hôn,Cheung,32,0.675,0.275,0,-12.446,0,0.0334,0.877,0.000277,0.161,0.255,116.105,250539,2019
sao anh chưa về nhà,AMEE,50,0.747,0.601,4,-8.134,1,0.0395,0.29600000000000004,2.57e-05,0.0912,0.21100000000000002,106.027,244000,2020
Cho,Ngọt,35,0.525,0.434,4,-8.192,1,0.0542,0.5379999999999999,0.0,0.308,0.493,97.15299999999999,190601,2017
Mai Mình Xa,Thịnh Suy,46,0.7020000000000001,0.177,11,-17.406,1,0.0516,0.807,0.0,0.109,0.54,87.083,189335,2019
Nến Và Hoa,Rhymastic,51,0.787,0.652,5,-6.781000000000001,0,0.0655,0.239,8.3e-05,0.102,0.39399999999999996,120.03299999999999,166000,2018
